tracklet_uid,center_label,magnitude_bin,population,mean_mag_V,vlam,vbeta,P_NEO_new,new_vdp_valid,new_vdp_reason,p_k10,valid_k10,rhoO_k10,reason_k10,p_k30,valid_k30,rhoO_k30,reason_k30
T2:1b32e80082a7058ca5df57251cd2e770,dlon-130_lat+08,V024.50_024.75,Trojans,24.60382727892458,0.16675026570376686,-0.01989350994349881,0.0006989934700312402,True,ok,0.000677819874809455,True,787904.8861003498,ok,0.000575660999968006,True,927824.1656403252,ok
T2:ee50c2818833c1e42082d7ef7d61f626,dlon-120_lat+08,V024.75_025.00,Trojans,24.828242161674346,0.15730150957598912,-0.019704634040171837,0.0006938866068784277,True,ok,0.0007371110330963835,True,1201399.8543545166,ok,0.0006372726213975184,True,1389756.183928457,ok
T2:ccc883f264ef20a5fabd913be69d7301,dlon-130_lat+08,V024.75_025.00,Trojans,24.765922764254235,0.1812007045609651,-0.01081431597578733,0.00040667466192174836,True,ok,0.00039433835695986823,True,2378825.8493259065,ok,0.0004442156115580927,True,2111622.0278664976,ok
T2:bc8d93cbb4640b5c0771d865d46b7c61,dlon-120_lat+08,V024.75_025.00,Trojans,24.964221653281612,0.142354646695684,-0.02406968316771332,0.0006565092304243737,True,ok,0.000637585019195603,True,1070519.537194083,ok,0.0006046061061274833,True,1128949.4710356754,ok
T2:9fd38f3a3b3768a9a77cffd6d58313e2,dlon-120_lat+08,V024.75_025.00,Trojans,24.90130914302347,0.15286838059572697,-0.019981130469811557,0.0006763856505107588,True,ok,0.0007555583745904762,True,1112709.9486569704,ok,0.0006170951081969706,True,1362567.6261489517,ok
T2:2efa778c4f887633290b18826b777219,dlon+130_lat+08,V024.75_025.00,Trojans,24.788290055253484,0.1969768015339994,0.020032226632630788,0.0012456838020196582,True,ok,0.0013764597074630526,True,700812.1609041275,ok,0.0010823802786877037,True,891483.1438543261,ok
T2:832c06413752d7449138bbb3a6b0429a,dlon-120_lat+08,V024.75_025.00,Trojans,24.76508953725538,0.18503543469497555,0.0063945239175351755,0.0006041168491485849,True,ok,0.000621374145412786,True,2100179.609217493,ok,0.0006785205959617466,True,1923188.02896268,ok
T2:4c52666f174bba7ad4b3b19109f8b825,dlon-130_lat+08,V024.75_025.00,Trojans,24.950989543476535,0.19360372917665886,-0.0199130550201062,0.001076671361681636,True,ok,0.0010732460174612912,True,1046452.0089829689,ok,0.0011671239740150263,True,962189.9030898724,ok
T2:662bc3fea1d8ae9c94602b604153c663,dlon-130_lat+08,V016.25_016.50,Trojans,16.441374141813423,0.18279923430013562,-0.01905207169602221,,False,"missing_population_density:NEO,TNO,Trojans",,False,,missing_population_density:NEO,,False,,"missing_population_density:NEO,OTHER"
T2:eb442d509a89a56bfb9c5500d78f22a5,dlon-120_lat+08,V021.25_021.50,Trojans,21.495228076509655,0.14248297178666555,-0.044643948323124454,0.00045509588743129645,True,ok,0.0005350589636416844,True,30267.503298264903,ok,0.0004854091434967529,True,33365.056402519986,ok
T2:5b3575ad1df51c7beab677c016b36dd8,dlon-120_lat+08,V021.25_021.50,Trojans,21.312471890717887,0.16870481691546485,0.018517544775150118,0.0002666090383461299,True,ok,0.000282642730596241,True,71607.10270535547,ok,0.0002585461281612611,True,78282.8001222033,ok
T2:5ce798c95d2f6d38303f216232f2300e,dlon+130_lat+08,V021.50_021.75,Trojans,21.715032742313834,0.17511429044091786,0.02884903654048393,0.0003936677315501061,True,ok,0.000443861906385764,True,51864.90032014866,ok,0.0005099187393779113,True,45143.13829442925,ok
T2:7a4126269df72e1216231d4c1a5f4bf4,dlon-120_lat+08,V022.75_023.00,Trojans,22.780928352670706,0.15329949138652496,-0.010981575826847993,0.0002304608338650086,True,ok,0.00022332762126039404,True,599194.3564602413,ok,0.00030685840056486315,True,436049.55819575174,ok
T2:6f28f09adf8facbf591e2e5ac1ffdd17,dlon-130_lat+08,V022.75_023.00,Trojans,22.979272188907796,0.17973353683559143,0.0013965520378474065,0.000157900011431628,True,ok,0.00016351547346454427,True,829950.5858630658,ok,0.0002229970611433777,True,608535.7750970861,ok
T2:49b7921bb5d9cf2f3553c438c395434b,dlon-120_lat+08,V023.00_023.25,Trojans,23.12627327554782,0.15825769839902834,0.008187133780784296,0.00015180607347170638,True,ok,0.00015149070937867752,True,1033592.4173491134,ok,0.00019437516173163115,True,805519.2405650605,ok
T2:9383737fcbd37c4aa402373d5d6893cb,dlon+130_lat+08,V023.00_023.25,Trojans,23.23423205419247,0.17928676903948348,0.037726156345553895,0.0007849030591643298,True,ok,0.0008181429624311274,True,144741.82654348575,ok,0.0006818638519509247,True,173693.99732255668,ok
T2:2d82a9bbd2014f078fd7e10e5285f4a2,dlon+130_lat+08,V023.50_023.75,Trojans,23.533640554883185,0.15713732403507732,0.02444958197053391,0.0005094357374014916,True,ok,0.0005247775587489195,True,376595.3695241989,ok,0.0005641769802506708,True,350281.94170312776,ok
T2:26716da0d7c2e904f027d7d571936f68,dlon+130_lat+08,V023.00_023.25,Trojans,23.164804954943932,0.1968396301633473,0.0056168131488242255,0.0002761026268818566,True,ok,0.0002480804012255727,True,854909.1631793645,ok,0.00037307916049963226,True,568404.010660113,ok
